ZCTA,population,median_income,pct_bachelors,unemployment,rent_burden,pct_seniors,score_income,score_education,score_employment,score_housing,score_seniors,overall_score,cluster,cluster_name,z_score,income_quintile
02171,20513,104992.0,51.7,5.7,34.1,18.7,36.95507914458375,52.056277056277054,74.43946188340807,65.9,70.87227414330218,57.40795884122703,1,Moderate-High,0.08735437929397859,Middle 20%
02176,29488,126854.0,62.0,4.1,41.4,20.7,46.6267330850019,63.203463203463194,81.61434977578477,58.599999999999994,67.7570093457944,62.276119961852665,1,Moderate-High,0.5290247323519578,High 20%
02180,22986,112635.0,54.0,3.1,38.8,20.7,40.33630918147955,54.54545454545454,86.09865470852017,61.199999999999996,67.7570093457944,59.955872808017,1,Moderate-High,0.3185172421058936,Middle 20%
02184,38762,125305.0,47.1,3.7,38.9,17.8,45.94146220613868,47.077922077922075,83.40807174887892,61.1,72.27414330218069,59.38387475100904,1,Moderate-High,0.2666219622399889,High 20%
02186,28716,177222.0,70.3,3.6,33.7,15.8,68.90931773741164,72.18614718614718,83.85650224215246,66.3,75.38940809968848,72.84410748928906,0,High Performing,1.4878193709639387,Highest 20%
02188,15396,102236.0,39.5,5.5,45.1,21.4,35.73583670291362,38.85281385281385,75.33632286995515,54.89999999999999,66.66666666666667,51.36109387958956,1,Moderate-High,-0.4612554379088494,Middle 20%
02189,15231,91842.0,40.9,5.8,46.6,15.3,31.137576202652607,40.36796536796536,73.99103139013454,53.400000000000006,76.16822429906543,50.97141410058794,3,Needs Improvement,-0.49660965098984144,Low 20%
02190,19029,99024.0,47.5,3.8,41.2,18.6,34.314861839835075,47.51082251082251,82.95964125560538,58.8,71.02803738317756,55.91115307710322,1,Moderate-High,-0.048445302335050705,Middle 20%
02191,8130,116496.0,43.5,4.7,42.7,22.5,42.04439882853629,43.18181818181818,78.9237668161435,57.3,64.95327102803739,55.046634718621064,1,Moderate-High,-0.12687987324482533,High 20%
02199,1253,118367.0,91.8,0.7,51.2,17.2,42.87212111023615,95.45454545454545,96.8609865470852,48.8,73.20872274143302,71.03473622475575,0,High Performing,1.3236617711191976,High 20%
02210,6554,178833.0,93.1,2.5,34.0,7.0,69.62201714725582,96.86147186147186,88.78923766816143,66.0,89.09657320872275,81.48837710668647,0,High Performing,2.2720821591589226,Highest 20%
02215,24054,65827.0,84.6,7.5,51.0,4.0,19.62865308217057,87.66233766233765,66.3677130044843,49.0,93.76947040498442,59.27323732752236,3,Needs Improvement,0.2565842357387537,Lowest 20%
02301,68608,72727.0,21.7,9.5,48.4,13.1,22.68118314295573,19.588744588744586,57.399103139013455,51.6,79.59501557632399,40.32680411836017,3,Needs Improvement,-1.462355963102622,Lowest 20%
02302,36472,87560.0,20.6,6.2,42.4,15.6,29.24323798232187,18.398268398268396,72.19730941704037,57.60000000000001,75.70093457943925,45.43993193649957,3,Needs Improvement,-0.9984606825828243,Low 20%
02322,4753,129487.0,31.0,3.1,61.5,17.4,47.79156086037108,29.65367965367965,86.09865470852017,38.5,72.89719626168225,51.570760696384944,1,Moderate-High,-0.4422331387893291,High 20%
02324,26022,112445.0,39.6,5.5,43.8,19.3,40.25225400589271,38.96103896103896,75.33632286995515,56.2,69.93769470404985,53.10435728612894,1,Moderate-High,-0.3030955608708536,Middle 20%
02330,11645,78955.0,27.2,2.9,53.9,22.0,25.43642331956008,25.54112554112554,86.99551569506727,46.1,65.73208722741433,45.936699076926296,1,Moderate-High,-0.9533908270740818,Low 20%
02332,16110,171471.0,73.5,3.3,51.8,23.3,66.36510029109634,75.64935064935065,85.20179372197309,48.2,63.70716510903427,68.5546879904098,0,High Performing,1.0986561165973072,Highest 20%
02333,14420,128679.0,34.3,4.6,38.8,15.4,47.43410516629653,33.225108225108215,79.37219730941705,61.199999999999996,76.01246105919004,55.8804889156536,1,Moderate-High,-0.05122734891857476,High 20%
